medicineName,dosage,uses,details
Conventin 300 Mg 30 Cap,300 MG,,Oral capsule formulation
Conventin 300 mg 30 Extended Release,300 MG,"Nerve pain, Seizures, Anxiety",Gabapentin
Conventin 400 Mg 30 Cap,400 MG,,Oral capsule formulation
Conventin 600 mg 30 Extended Release,600 MG,"Nerve pain, Seizures, Anxiety",Gabapentin
Conventin 600 Mg 30 Tab,600 MG,,Oral tablet formulation
Conventin 800 Mg 30 Tab,800 MG,,Oral tablet formulation
Conventin Xr 300 Mg 30 Tab,300 MG,,Oral tablet formulation
Conventin Xr 600 Mg 30 Tab,600 MG,,Oral tablet formulation
Conviban 100 mg 20,100 MG,Anticonvulsant,Valproic acid
Conviban 25 mg 30,25 MG,Anticonvulsant,Valproic acid
Conviban 50 mg 30,50 MG,Anticonvulsant,Valproic acid
Convulex 150 mg 40,150 MG,Anticonvulsant,Valproic acid
Convulex 300 mg / ml Oral Solution 100 ml,"300 MG, 100 ML",Anticonvulsant,Valproic acid
Convulex 300 mg 40,300 MG,Anticonvulsant,Valproic acid
Copad 10.000 30 Cap,,,Oral capsule formulation
Copad 4000 30 Cap,,,Oral capsule formulation
Copadtada 2,,Pharmacological Agent,Levodopa + Carbidopa
Copadtada 2.5 mg 20 Film Coated,2.5 MG,Pharmacological Agent,Levodopa + Carbidopa
Copadtada 4,,Pharmacological Agent,Levodopa + Carbidopa
Copadtada 5 mg 30 Film Coated,5 MG,Pharmacological Agent,Levodopa + Carbidopa
Copastronil 5 Mg 20 Tab,5 MG,,Oral tablet formulation
Corasore 150 Mg / Ml Oral Drops 15 Ml,"150 MG, 15 ML, 15 ML",,Ophthalmic/otic drops
Corasore 150 Mg 20 Tab,150 MG,,Oral tablet formulation
Cordarone 200 mg 30,200 MG,Pharmacological Agent,Amiodarone
Cordo - C Spray 60 Ml,"60 ML, 60 ML",,Spray formulation
Cordo Plus Spray 60 Ml,"60 ML, 60 ML",,Spray formulation
Cordo Plus Spray 60 Ml (1+1) #,"60 ML, 60 ML",,Spray formulation
Core White Eye Contour Serum 30 Ml,"30 ML, 30 ML",,Pharmaceutical preparation
Cornefresh 15 Mg / Ml Eye Drops 5 Ml,"15 MG, 5 ML, 5 ML",,Ophthalmic/otic drops
Corneregel Fluid 5% Eye Drops 10 Ml,"10 ML, 10 ML, 5%",Influenza Treatment,Topical gel formulation
Cornetears Eye Gel (Drops) 10 Gm,"10 G, 10 G",,Topical gel formulation
Corsoden Mouth . Wash 200 Ml (Menthol & Clove Oil),"200 ML, 200 ML",,Pharmaceutical preparation
Corticofusidic 30 Gm Cream,"30 G, 30 G",,Topical cream formulation
Cortilon 0.1 Mg 20 Tab,0.1 MG,,Oral tablet formulation
Cortiment Mmx 9 Mg 30 Tab,9 MG,,Oral tablet formulation
Cortiplex - B6 - Adult I.m 3 Amp 1 Ml,"1 ML, 1 ML",,Pharmaceutical preparation
Cortiplex - B6 - Inf I.m 3 Amp 1 Ml,"1 ML, 1 ML",,Pharmaceutical preparation
Cortopect,,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Cortopect 250 Mg / 5 Ml Syrup 60 Ml,"250 MG, 5 ML, 60 ML, 5 ML, 60 ML",,Oral liquid formulation
Cortopect 30,,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Cortopect 300 Mg 30 Cap,300 MG,,Oral capsule formulation
Cortopect Advance 20,,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Cortopect Plus 20 Tab,,,Oral tablet formulation
Corvast 80 mg 7,80 MG,"High cholesterol, Cardiovascular prevention",Atorvastatin
Corvibeak 20 Cap (605363) (New),,,Oral capsule formulation
Corvibeak 30 Cap (612301) (Old),,,Oral capsule formulation
Corvizim 20 Tab (611152),,,Oral tablet formulation
Corvizim 30 Tab,,,Oral tablet formulation
Cosamine 50 Gm Massage Cream,"50 G, 50 G",,Topical cream formulation
Cosentyx 150 Mg / 1 Ml 1 Pre-Filled Pen,"150 MG, 1 ML, 1 ML",,Pharmaceutical preparation
Cosentyx 150 Mg / 1 Ml 2 Pre-Filled Pen,"150 MG, 1 ML, 1 ML",,Pharmaceutical preparation
Cosentyx 150 mg / ml 1 Prefilled Pen (Fridge),150 MG,Pharmacological Agent,Secukinumab
Cosentyx 300 Mg / 2 Ml 1 Pre-Filled Pen,"300 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Cosentyx 300 mg / 2 ml 1 Prefilled Pen (Fridge),"300 MG, 2 ML",Pharmacological Agent,Secukinumab
Cosimprel 5 / 10 Mg 15 Tab,10 MG,,Oral tablet formulation
Cosimprel 5 / 5 Mg 15 Tab,5 MG,,Oral tablet formulation
Cosimprel 5 mg / 10 mg 15 Film Coated,"5 MG, 10 MG, 5 MG + 10 MG",Calcium Channel Blocker,Amlodipine + Olmesartan
Cosimprel 5 mg / 5 mg 15 Film Coated,"5 MG, 5 MG + 5 MG",Calcium Channel Blocker,Amlodipine + Olmesartan
Cosmofer 50 Mg / Ml 5 Amp 2 Ml,"50 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Cosmofer Ampoule,,Iron Supplement,Iron sucrose
Cosopt Eye,,Pharmacological Agent,Dorzolamide + Timolol
Cosopt Eye Drops 5 Ml,"5 ML, 5 ML",,Ophthalmic/otic drops
Costareb 100 mg 30,100 MG,Beta-blocker,Carvedilol
Cough Rest - N 120 ml,120 ML,"Pain relief, Fever reduction",Paracetamol + Dextromethorphan
Coughpent Syrup 120 Ml,"120 ML, 120 ML",Antitussive,Oral liquid formulation
Coughsed Children 12 Supp الاطفال,,Antitussive,Rectal suppository formulation
Coughsed Inf 12 Supp للرضع,,Antitussive,Rectal suppository formulation
Coughsed Paracetamol for Childern 12 Suppositories,,"Pain relief, Fever reduction",Paracetamol
Coughsed Paracetamol for Infants 12 Suppositories,,"Pain relief, Fever reduction",Paracetamol
Covalmet 20 Film Coated,,"Diabetes, Blood sugar control",Metformin
Covaprendo 10 / 10 mg 30,10 MG,Calcium Channel Blocker,Amlodipine + Atorvastatin
Covaprendo 10 / 5 mg 30,5 MG,Calcium Channel Blocker,Amlodipine + Atorvastatin
Covaprendo 10 Mg / 10 Mg 30 Tab,"10 MG, 10 MG",,Oral tablet formulation
Covaprendo 10 Mg / 5 Mg 30 Tab,"10 MG, 5 MG",,Oral tablet formulation
Covaprendo 5 / 10 mg 20,10 MG,Calcium Channel Blocker,Amlodipine + Atorvastatin
Covaprendo 5 / 10 mg 30,10 MG,Calcium Channel Blocker,Amlodipine + Atorvastatin
Covaprendo 5 / 5 mg 20,5 MG,Calcium Channel Blocker,Amlodipine + Atorvastatin
Covaprendo 5 / 5 mg 30,5 MG,Calcium Channel Blocker,Amlodipine + Atorvastatin
Covaprendo 5 Mg / 10 Mg 20 Tab (377408),"5 MG, 10 MG",,Oral tablet formulation
Covaprendo 5 Mg / 10 Mg 30 Tab,"5 MG, 10 MG",,Oral tablet formulation
Covaprendo 5 Mg / 5 Mg 30 Tab,"5 MG, 5 MG",,Oral tablet formulation
Coveram 10 / 10 mg 15,10 MG,Pharmacological Agent,Perindopril + Amlodipine
Coveram 10 / 5 mg 15,5 MG,Pharmacological Agent,Perindopril + Amlodipine
Coveram 10 Mg / 10 Mg 15 Tab #,"10 MG, 10 MG",,Oral tablet formulation
Coveram 10 Mg / 5 Mg 15 Tab #,"10 MG, 5 MG",,Oral tablet formulation
Coveram 5 Mg / 10 Mg 15 Tab#,"5 MG, 10 MG",,Oral tablet formulation
Coveram 5 Mg / 5 Mg 15 Tab #,"5 MG, 5 MG",,Oral tablet formulation
Coversyl 10 mg 15,10 MG,Pharmacological Agent,Perindopril
Coversyl 10 Mg 30 Tab (205599),10 MG,,Oral tablet formulation
Coversyl 5 Mg 15 Tab (149056),5 MG,,Oral tablet formulation
Coversyl 5 mg 30,5 MG,Pharmacological Agent,Perindopril
Coversyl Plus 10 / 2.5 Mg 15 Tab,2.5 MG,,Oral tablet formulation
Coversyl Plus 10/2.5 mg 15,2.5 MG,Pharmacological Agent,Perindopril + Indapamide
Coversyl Plus 5 / 1.25 Mg 15 Tab,1.25 MG,,Oral tablet formulation
Coversyl Plus 5/1.25 mg 15,1.25 MG,Pharmacological Agent,Perindopril + Indapamide
Coxinorin 60 Mg 30 Tab,60 MG,,Oral tablet formulation
Coxorizet 60 mg 20 Film Coated,60 MG,Pharmacological Agent,Etoricoxib
Coxorizet 90 mg 30 Film Coated,90 MG,Pharmacological Agent,Etoricoxib
Coxritor 60 mg 30 Film Coated,60 MG,Pharmacological Agent,Etoricoxib
Coxritor 90 Mg 30 Tab,90 MG,,Oral tablet formulation
Coxtori 60 mg 14 Film Coated,60 MG,Pharmacological Agent,Etoricoxib
Coxtori 90 mg 14 Film Coated,90 MG,Pharmacological Agent,Etoricoxib
Cozaar 100 Mg 14 Tab,100 MG,,Oral tablet formulation
Cozaar 50 mg 14,50 MG,Pharmacological Agent,Losartan
Crackdol Foam 150 ml,150 ML,"Pain relief, Anti-inflammatory",Diclofenac
Crackven Crio Foam 150 ml,150 ML,"Pain relief, Anti-inflammatory",Diclofenac
Cranberry 270 Mg 20 Cap,270 MG,,Oral capsule formulation
Cranberry 270 Mg 30 Cap (28923),270 MG,,Oral capsule formulation
Cranby 20,,Pharmacological Agent,Cranberry extract
Cranby 20 Cap,,,Oral capsule formulation
Credosan 100 mg 2,100 MG,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Crestatin 10 mg 30 Film Coated,10 MG,Statin (HMG-CoA Reductase Inhibitor),Rosuvastatin
Crestatin 20 mg 30 Film Coated,20 MG,Statin (HMG-CoA Reductase Inhibitor),Rosuvastatin
Crestatin 5 mg 30 Film Coated,5 MG,Statin (HMG-CoA Reductase Inhibitor),Rosuvastatin
Crestolip 10 Mg 30 Tab,10 MG,,Oral tablet formulation
Crestolip 20 Mg 30 Tab,20 MG,,Oral tablet formulation
Crestor 10 mg 28,10 MG,Statin (HMG-CoA Reductase Inhibitor),Rosuvastatin
Crestor 10 Mg 28 Tab ( 397947 ) #,10 MG,,Oral tablet formulation
Crestor 20 Mg 14 Tab (116516),20 MG,,Oral tablet formulation
Crestor 20 mg 28 Film Coated,20 MG,Statin (HMG-CoA Reductase Inhibitor),Rosuvastatin
Crestor 20 Mg 7 Tab (314058),20 MG,,Oral tablet formulation
Crestor 5 Mg 28 Tab (200839),5 MG,,Oral tablet formulation
Crestor 5 Mg 7 Tab,5 MG,,Oral tablet formulation
Crisacan 2% 30 Gm Oint.,"30 G, 30 G, 2%",,Pharmaceutical preparation
Cryoverd 100 Gm Massage Emulgel,"100 G, 100 G",,Topical gel formulation
Cryoverd 50 Gm Massage Emulgel,"50 G, 50 G",,Topical gel formulation
Cryoverd Cold Aerosol Spray 150 Ml,"150 ML, 150 ML",Cold Relief,Spray formulation
Cryoverd Massage Emulgel (100 Gm + 50 Gm Free) #,"100 G, 50 G, 100 G, 50 G",,Topical gel formulation
Cryptonaz 100 Mg / 5 Ml Susp 60 Ml,"100 MG, 5 ML, 60 ML, 5 ML, 60 ML",,Pharmaceutical preparation
Curadic Cream 15 gm,15 G,Antifungal (Imidazole),Miconazole
Curam 1 gm 12,1 G,"Bacterial infections, Antibiotic",Amoxicillin + Clavulanic acid
Curam 228.5 mg / 5 ml Powder for Oral Suspension 75 ml,"228.5 MG, 5 ML, 75 ML","Bacterial infections, Antibiotic",Amoxicillin + Clavulanic acid
Curam 228.5 Mg / 5 Ml Susp 75 Ml,"228.5 MG, 5 ML, 75 ML, 5 ML, 75 ML",,Pharmaceutical preparation
Curam 312.5 Mg / 5 Ml Susp 75 Ml,"312.5 MG, 5 ML, 75 ML, 5 ML, 75 ML",,Pharmaceutical preparation
Curam 457 mg / 5 ml Powder for Oral Suspension 70 ml,"457 MG, 5 ML, 70 ML","Bacterial infections, Antibiotic",Amoxicillin + Clavulanic acid
Curam 457 Mg / 5 Ml Susp 70 Ml,"457 MG, 5 ML, 70 ML, 5 ML, 70 ML",,Pharmaceutical preparation
Curam 625 mg 12,625 MG,"Bacterial infections, Antibiotic",Amoxicillin + Clavulanic acid
Curam 642.9 mg / 5 ml Powder for Oral Suspension 75 ml,"642.9 MG, 5 ML, 75 ML","Bacterial infections, Antibiotic",Amoxicillin + Clavulanic acid
Curam 642.9 Mg / 5 Ml Susp 75 Ml,"642.9 MG, 5 ML, 75 ML, 5 ML, 75 ML",,Pharmaceutical preparation
Curavisc 20 Mg / 2 Ml 1 Syringe,"20 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Curcomlox Plus 30 Cap,,,Oral capsule formulation
Curcomlox Plus 30 Liquid,,Nutritional supplement,Curcuma + Vitamin C + Vitamin D
Curcutake 30 Cap,,,Oral capsule formulation
Curisafe 1 gm 8,1 G,Cephalosporin Antibiotic,Cefuroxime
Curisafe 100 mg / 1 ml Pediatric Oral,"100 MG, 1 ML",Cephalosporin Antibiotic,Cefuroxime
Curisafe 125 mg / 5 ml Powder for Oral Suspension 60 ml,"125 MG, 5 ML, 60 ML",Cephalosporin Antibiotic,Cefuroxime
Curisafe 250 mg / 5 ml Powder for Oral Suspension 60 ml,"250 MG, 5 ML, 60 ML",Cephalosporin Antibiotic,Cefuroxime
Curisafe 500 mg / 5 ml Powder for Oral Suspension 60 ml,"500 MG, 5 ML, 60 ML",Cephalosporin Antibiotic,Cefuroxime
Curisafe 500 Mg 8 Cap,500 MG,,Oral capsule formulation
Cushion (Orange) 10 Sachets,,,Pharmaceutical preparation
Cutacort 15 Gm Cream,"15 G, 15 G",,Topical cream formulation
Cute Agar Oral,,Pharmacological Agent,Agar-Agar Extract
Cutivate 0.005% 15 Gm Oint,"15 G, 15 G, 0.005%",,Pharmaceutical preparation
Cutivate 0.05% 15 Gm Cream,"15 G, 15 G, 0.05%",,Topical cream formulation
Cyanaro 1% Eye Drops 2.5 Ml #,"2.5 ML, 2.5 ML, 1%",,Ophthalmic/otic drops
Cyanaro 1% Sterile Ophthalmic Solution 2.5 ml,"2.5 ML, 1%",Pharmacological Agent,Cyanoacrylate
Cyanoheptan 6 Amp 2 Ml,"2 ML, 2 ML",,Pharmaceutical preparation
Cybreak Massage Spray 100 Ml,"100 ML, 100 ML",,Spray formulation
Cyclo - Progynova 21 Tab,,,Oral tablet formulation
Cycloflex 5 mg 20,5 MG,Pharmacological Agent,Cyclobenzaprine
Cyclogest 200 mg 15 Pessaries (Fridge),200 MG,Pharmacological Agent,Progesterone
Cyclogest 400 mg 15 Pessaries (Fridge),400 MG,Pharmacological Agent,Progesterone
Cyclogest 400 Mg Vag 15 Supp,400 MG,,Rectal suppository formulation
Cyclosporine Eye Drops,,,Ophthalmic/otic drops
Cymbalta 30 Mg 28 Cap,30 MG,,Oral capsule formulation
Cymbalta 60 mg 28,60 MG,SNRI Antidepressant,Duloxetine
Cymbalta 60 Mg 28 Cap,60 MG,,Oral capsule formulation
Cymbatex 20 mg 30,20 MG,SNRI Antidepressant,Duloxetine
Cymbatex 20 Mg 30 Cap #,20 MG,,Oral capsule formulation
Cymbatex 30 Mg 30 Cap,30 MG,,Oral capsule formulation
Cymbatex 60 Mg 30 Cap,60 MG,,Oral capsule formulation
Cymevene 500 mg Vial,500 MG,Pharmacological Agent,Ganciclovir
Cyncholine 20,,Pharmacological Agent,Lecithin
Cyncholine Plus 20,,Pharmacological Agent,Lecithin + Ginkgo
Cypentola 1% Eye Drops 15 Ml,"15 ML, 15 ML, 1%",,Ophthalmic/otic drops
Cypentola 1% Ophthalmic Solution 15 ml,"15 ML, 1%",Pharmacological Agent,Cyclopentolate
Cyrinol,,Pharmacological Agent,Bromhexine
Cyrinol Syrup 60 Ml,"60 ML, 60 ML",,Oral liquid formulation
Cystinol 425 Mg 20 Cap,425 MG,,Oral capsule formulation
Cystone 60 Tab,,,Oral tablet formulation
D . Dep Oral,,"Bone health, Calcium absorption",Vitamin D
D 10000 Pharmix 30 Film Coated,,"Bone health, Calcium absorption",Vitamin D
D Pero Oral,,"Bone health, Calcium absorption",Vitamin D
D-Dep 10.000 Iu 30 Cap,10.000 IU,,Oral capsule formulation
D-Dep 1000 Iu 30 Cap,1000 IU,,Oral capsule formulation
D-Dep 5000 Iu 30 Cap,5000 IU,,Oral capsule formulation
D. Dep 1000 Vitamin D3 1000 IU 30,1000 IU,"Bone health, Calcium absorption",Vitamin D3
D. Dep 5000 Vitamin D3 1000 IU 30,1000 IU,"Bone health, Calcium absorption",Vitamin D3
D.Dep 10000 IU 30,10000 IU,"Bone health, Calcium absorption",Vitamin D3
D3 & K2 20 Film Coated,,"Bone health, Calcium absorption",Vitamin D3 + Vitamin K2
D3 - Tag 1000 IU Oral,1000 IU,"Bone health, Calcium absorption",Vitamin D3
D3 2400 IU/ml Oral,2400 IU,"Bone health, Calcium absorption",Vitamin D3
D3 Box Vitamin D3 200 I.U,,"Bone health, Calcium absorption",Vitamin D3
D3 Candy (Vitamin D3) Adults 30 Pieces,,Vitamin Supplement,Vitamin D - Bone health and calcium absorption
D3 Candy for Adults 30 Pieces,,"Bone health, Calcium absorption",Vitamin D3
D3 Candy For Children Chewable 30 Pieces,,"Bone health, Calcium absorption",Vitamin D3
D3 Lab,,"Bone health, Calcium absorption",Vitamin D3
D3 ODF 20 Films,,"Bone health, Calcium absorption",Vitamin D3
Dabocase 20,,Pharmacological Agent,Casein
Dabocase 20 Cap,,,Oral capsule formulation
Daclavirocyrl 60 Mg 28 Tab,60 MG,,Oral tablet formulation
Daextra Spray 30 ml,30 ML,Pharmacological Agent,Menthol + Camphor
Daflofix 30 Film Coated,,Pharmacological Agent,Dapoxetine
Daflon 1000 mg 30,1000 MG,Pharmacological Agent,Diosmin + Hesperidin
Daflon 500 mg 30,500 MG,Pharmacological Agent,Diosmin + Hesperidin
Dafrex 15,,"Pain relief, Fever reduction",Paracetamol
Dafrocin 30 Hard Gelatin,,Antifungal (Azole),Fluconazole
Dago Plus Shampoo 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Dago Plus Shampoo 250 Ml,"250 ML, 250 ML",,Pharmaceutical preparation
Dago Shampoo 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Daily V Omega 3 Essential 30 Soft Gelatin,,Pharmacological Agent,Omega 3 fatty acids
Daivobet 15 Gm Oint (336062) #,"15 G, 15 G",,Pharmaceutical preparation
Daivobet 30 Gm Oint (107880),"30 G, 30 G",,Pharmaceutical preparation
Daivobet 30 gm Ointement,30 G,Pharmacological Agent,Calcipotriol + Betamethasone
Daklanork 60 Mg 28 Tab,60 MG,,Oral tablet formulation
Daktacort 15 Gm Cream,"15 G, 15 G",,Topical cream formulation
Daktarin 2% 15 Gm Cream,"15 G, 15 G, 2%",,Topical cream formulation
Daktarin 2% 40 Gm Oral Gel,"40 G, 40 G, 2%",,Topical gel formulation
Daktarin Cream 15 gm,15 G,Antifungal (Imidazole),Miconazole
Daktarin Oral Gel 40 gm,40 G,Antifungal (Imidazole),Miconazole
Dal Sight 30 Film Coated,,Alpha-blocker,Tamsulosin
Dalacin - C - 300 Mg 10 Cap,300 MG,,Oral capsule formulation
Dalacin - C - 600 Mg / 4 Ml 1 Amp #,"600 MG, 4 ML, 4 ML",,Pharmaceutical preparation
Dalacin - C -600 mg 4 ml 1 Ampoule,"600 MG, 4 ML",Lincosamide Antibiotic,Clindamycin
Dalacin -C- 300 mg 10,300 MG,Lincosamide Antibiotic,Clindamycin
Dalacin 2% Vaginal Cream 16.5 gm,"16.5 G, 2%",Lincosamide Antibiotic,Clindamycin
Daldrop Oral,,"Pain relief, Fever reduction",Paracetamol
Dale Dal Vitamin D3 4000 IU 30 Hard Gelatin,4000 IU,"Bone health, Calcium absorption",Vitamin D3
Dalfarosis E.r. 10 Mg 20 Tab,10 MG,,Oral tablet formulation
Dalkino 20 Film Coated,,Alpha-blocker,Tamsulosin
Dalolife 10 Sachets,,Pharmacological Agent,Probiotics
Dalukan 30 Sublingual,,Serotonin 5-HT3 Antagonist,Ondansetron
Dalukan Oral,,Serotonin 5-HT3 Antagonist,Ondansetron
Dan - Off Shampoo 250 Ml,"250 ML, 250 ML",,Pharmaceutical preparation
Danasetron,,Serotonin 5-HT3 Antagonist,Ondansetron
Dandivera Shampoo 180 Ml,"180 ML, 180 ML",,Pharmaceutical preparation
Danica Massage Gel 100 ml,100 ML,Pharmacological Agent,Menthol
Danofran 8 mg 1 Ampoule,8 MG,Serotonin 5-HT3 Antagonist,Ondansetron
Danpito,,"Pain relief, Fever reduction",Paracetamol
Danset 4 Mg / 2 Ml 3 Amp (301955) #,"4 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Danset 8 Mg / 4 Ml 1 Amp (286410),"8 MG, 4 ML, 4 ML",,Pharmaceutical preparation
Danset 8 Mg / 4 Ml 3 Amp (301113),"8 MG, 4 ML, 4 ML",,Pharmaceutical preparation
Dantrelax 25 mg 30,25 MG,Pharmacological Agent,Dantrolene
Dantrelax 25 Mg 30 Cap,25 MG,,Oral capsule formulation
Dantrelax Comp 30 Cap,,,Oral capsule formulation
Daonil 5 mg 30,5 MG,Pharmacological Agent,Glibenclamide
Dapablix 10 Mg 30 Tab (404350),10 MG,,Oral tablet formulation
Dapablix 5 mg 30,5 MG,Pharmacological Agent,Dapagliflozin
Dapablix Met Xr 10 / 1000 Mg 30 Tab,1000 MG,,Oral tablet formulation
Dapaglif 10 mg 14,10 MG,Pharmacological Agent,Dapagliflozin
Dapaglif Plus 10 / 1000 mg XR 14,1000 MG,Pharmacological Agent,Dapagliflozin
Dapaglif Plus Xr 10 / 1000 Mg 14 Tab,1000 MG,,Oral tablet formulation
Dapagliflozin - EVA Pharma 10 mg 30 Film Coated,10 MG,Pharmacological Agent,Dapagliflozin
Dapagliflozin - EVA Pharma 5 mg 30 Film Coated,5 MG,Pharmacological Agent,Dapagliflozin
Dapagliflozin - Evapharma 10 Mg 30 Tab,10 MG,,Oral tablet formulation
Dapagliflozin - Evapharma 5 Mg 30 Tab,5 MG,,Oral tablet formulation
Dapagloza 10 mg 30 Film Coated,10 MG,Pharmacological Agent,Dapagliflozin
Dapagloza 5 mg 30 Film Coated,5 MG,Pharmacological Agent,Dapagliflozin
Dapaveldactin 10 mg 28,10 MG,Pharmacological Agent,Dapagliflozin
Dapaveldactin 5 mg 28,5 MG,Pharmacological Agent,Dapagliflozin
Dapaveldactin Plus 5 / 1000 mg 28,1000 MG,Pharmacological Agent,Dapagliflozin + Metformin
Dapaveldactin Plus 5 / 850 Mg 28 Tab,850 MG,,Oral tablet formulation
Dapaveldactin Plus 5/850 mg 28,850 MG,Pharmacological Agent,Dapagliflozin + Metformin
Dapilart 10 mg 14 Film Coated,10 MG,Pharmacological Agent,Dapagliflozin
Dapilart 10 mg 28 Film Coated,10 MG,Pharmacological Agent,Dapagliflozin
Dapilart 5 Mg 14 Tab,5 MG,,Oral tablet formulation
Dapilart 5 mg 28 Film Coated,5 MG,Pharmacological Agent,Dapagliflozin
Dapoxtard 60 mg 3,60 MG,Pharmacological Agent,Dapoxetine
Dapsone 100 mg 20,100 MG,Pharmacological Agent,Dapsone
Dapsone 50 mg 20,50 MG,Pharmacological Agent,Dapsone
Daptomycin 500 mg Vial IV (Fridge),500 MG,Pharmacological Agent,Daptomycin
Darkovida 30 Cap,,,Oral capsule formulation
Darkovida Dietary Supplement 30,,Nutritional supplement,Vitamins
Dasatinib 50 mg 60 Film Coated,50 MG,Pharmacological Agent,Dasatinib
Dasiword 50 mg 60 Film Coated,50 MG,Pharmacological Agent,Dasatinib
Datrini 30,,"Pain relief, Fever reduction",Paracetamol
Davalindi 10.000 Iu 30 Tab,10.000 IU,,Oral tablet formulation
Davalindi 1000 Iu 100 Tab,1000 IU,,Oral tablet formulation
Davalindi 200.000 I.u. / 1 Ml 1 Amp,"1 ML, 1 ML, 200.000 MG",,Pharmaceutical preparation
Davalindi 200.000 I.u. / 1 Ml 2 Amp (604952),"1 ML, 1 ML, 200.000 MG",,Pharmaceutical preparation
Davalindi 200000 I.U 2,,Nutritional supplement,Vitamin A
Davalindi 5000 Iu 30 Tab,5000 IU,,Oral tablet formulation
Dawalexamine 30,,"Pain relief, Fever reduction",Paracetamol + Caffeine
Debacolev 500 mg 10,500 MG,Fluoroquinolone Antibiotic,Levofloxacin
Debacolev 750 mg 10,750 MG,Fluoroquinolone Antibiotic,Levofloxacin
Debeskon Suspension 120 ml,120 ML,Pharmacological Agent,Simethicone
Debocaine (Lidocaine) 2% 1 Vial 50 Ml,"50 ML, 50 ML, 2%",,Parenteral formulation
Debocaine 2% 20 mg/ml Vial 50 ml,"20 MG, 50 ML, 2%",Pharmacological Agent,Lidocaine
Debospan,,Pharmacological Agent,Dextromethorphan
Decafortis 1 gm/4 ml 1,"1 G, 4 ML","Anti-inflammatory, Corticosteroid",Dexamethasone
Decal - B12,,Nutritional supplement,Vitamin B12
Decal B12 - N Syrup 120 Ml,"120 ML, 120 ML",,Oral liquid formulation
Decancit - Sr 20 Tab,,,Oral tablet formulation
Decanerve 30 Hard Gelatin,,Nutritional supplement,Vitamin B complex
Decapeptyl 0.1 Mg 7 Syringes 1 Ml,"0.1 MG, 1 ML, 1 ML",,Oral capsule formulation
Decapeptyl 0.1 mg( 7 ) Prefilled Syringes (Fridge),0.1 MG,Pharmacological Agent,Triptorelin
Decapreno 200.000 I.u. / 1Ml I.m./Oral 2 Amp,"1 ML, 1 ML, 200.000 MG",,Oral capsule formulation
Decapreno 200000 IU,200000 IU,Nutritional supplement,Vitamin A
Declophen 1% 30 Gm Gel,"30 G, 30 G, 1%",,Topical gel formulation
Declophen 12.5 mg For Infantile 5 Suppositories (Fridge),12.5 MG,"Pain relief, Anti-inflammatory",Diclofenac
Declophen 25 mg For Infantile 5 suppositories (Fridge),25 MG,"Pain relief, Anti-inflammatory",Diclofenac
Declophen 50 mg 20,50 MG,"Pain relief, Anti-inflammatory",Diclofenac
Declophen 75 Mg / 3 Ml 3 Amp,"75 MG, 3 ML, 3 ML",,Pharmaceutical preparation
Declophen Adullt 100 mg 5 Suppositories (Fridge),100 MG,"Pain relief, Anti-inflammatory",Diclofenac
Declophen Adult 100 Mg 5 Supp,100 MG,,Rectal suppository formulation
Declophen Emulgel 30 gm,30 G,"Pain relief, Anti-inflammatory",Diclofenac
Declophen Fast 50 Mg 10 Sachets (388305),50 MG,,Pharmaceutical preparation
Declophen Inf 12.5 Mg 5 Supp,12.5 MG,,Rectal suppository formulation
Declophen Plus 30 Cap,,,Oral capsule formulation
Declophen Plus 50 mg / 250 mg 30,"50 MG, 250 MG, 50 MG + 250 MG","Pain relief, Anti-inflammatory",Diclofenac + Misoprostol
Declophen Sr 100 Mg 8 Cap,100 MG,,Oral capsule formulation
Deconadal 10 mg 21,10 MG,Pharmacological Agent,Methylprednisolone
Deconadal 20 Mg 14 Tab,20 MG,,Oral tablet formulation
Deconadal 20 mg 21 Film Coated,20 MG,Pharmacological Agent,Methylprednisolone
Decongestyl 12 Suppository,,Pharmacological Agent,Guaifenesin
Decongestyl N 12 Suppositories,,Pharmacological Agent,Guaifenesin + Pseudoephedrine
Dedent Oral,,Pharmacological Agent,Chlorhexidine
Dedera,,Pharmacological Agent,Chlorhexidine
Deep Freeze Fast Acting Gel 100 gm,100 G,Pharmacological Agent,Menthol
Deep Freeze Gel Massage 125 ml,125 ML,Pharmacological Agent,Menthol
Deep Freeze Pain Relief Cold 100 Gm Gel,"100 G, 100 G",Analgesic; Cold Relief,Topical gel formulation
Deep Freeze Pain Relief Cold 150 Ml Spray,"150 ML, 150 ML",Analgesic; Cold Relief,Spray formulation
Deep Freeze Spray 125 ml,125 ML,Pharmacological Agent,Menthol
Deep Freeze Spray 150 ml,150 ML,Pharmacological Agent,Menthol
Deep Heat Pain Relief Patch 4 Patches,,Analgesic,Pharmaceutical preparation
